,id,name,release_date,artist_id,genre
0,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,3TVXtAsR1Inumwj472S9r4,rap
2,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,2020-05-01,3TVXtAsR1Inumwj472S9r4,rap
3,7dqpveMVcWgbzqYrOdkFTD,Care Package,2019-08-02,3TVXtAsR1Inumwj472S9r4,rap
4,6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,06HL4z0CvFAxyc27GXpf02,pop
5,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,06HL4z0CvFAxyc27GXpf02,pop
6,6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,06HL4z0CvFAxyc27GXpf02,pop
7,3esNgb0dchNmQ3MhlUVaa7,Dawn FM (Alternate World),2022-01-07,1Xyo4u8uXC1ZmMpatF05PJ,pop
8,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,pop
9,6YlDIxqEjvY63ffH6AwCjd,After Hours (Deluxe),2020-04-03,1Xyo4u8uXC1ZmMpatF05PJ,pop
10,4XLPYMERZZaBzkJg0mkdvO,Planet Her (Deluxe),2021-06-27,5cj0lLjcoR7YOSnhnX0Po5,pop
11,1nAQbHeOWTfQzbOoFrvndW,Planet Her,2021-06-25,5cj0lLjcoR7YOSnhnX0Po5,pop
13,3xcNRROgwXUvhR9NVrvAR4,Hot Pink (Japan Version),2020-11-11,5cj0lLjcoR7YOSnhnX0Po5,pop
14,3uPnO1aZBwMgWK1DI5zve9,Justice (The Complete Edition),2021-10-08,1uNFoZAHBGtllmzznpCI3s,pop
15,6mzpIm84OXCBxw6Tuhp1OA,Justice (Triple Chucks Deluxe),2021-03-26,1uNFoZAHBGtllmzznpCI3s,pop
16,5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19,1uNFoZAHBGtllmzznpCI3s,pop
17,6MVsBi4m5eAzfjb6C3JKwp,Sorry 4 The Wait,2022-01-14,55Aa2cqylxrFIXC767Z865,rap
18,2gDny6NDG26azxuTbtNxgq,Trust Fund Babies,2021-10-01,55Aa2cqylxrFIXC767Z865,rap
19,4ljsev5vUnwB2BUFAMvwwy,Tha Carter V (Deluxe),2020-09-25,55Aa2cqylxrFIXC767Z865,rap
20,2upw5IrzeqKApIQZyx5o6r,Beam Me Up Scotty,2021-05-14,0hCNtLu0JehylgoiP8L4Gh,pop
21,6zA5X3CQ5rgLKhTobyV5Id,Queen (Deluxe),2018-11-29,0hCNtLu0JehylgoiP8L4Gh,pop
