,id,name,genre,sub_genre,followers
0,3TVXtAsR1Inumwj472S9r4,Drake,rap,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",63278627
1,06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,['pop'],52901693
2,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,pop,"['canadian contemporary r&b', 'canadian pop', 'pop']",44618215
3,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,pop,"['dance pop', 'pop']",18551221
4,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,pop,"['canadian pop', 'pop']",60515412
5,55Aa2cqylxrFIXC767Z865,Lil Wayne,rap,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",12026410
6,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",24976649
7,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,"['dance pop', 'pop']",79375362
8,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,pop,"['dance pop', 'pop']",40335173
9,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,"['pop', 'uk pop']",96877481
10,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,pop,"['art pop', 'electropop', 'pop']",61947032
11,6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,['pop'],20516256
12,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,pop,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",48486707
13,3Nrfpe0tUJi4K4DXYWgMUX,BTS,pop,"['k-pop', 'k-pop boy group']",49371906
14,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",15877717
15,6LuN9FCkKOj5PcnpouEgny,Khalid,pop,"['pop', 'pop r&b']",15220613
16,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,['pop'],16626343
17,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,pop,"['dance pop', 'pop', 'uk pop']",33816208
18,7tYKF4w9nC0nq9CsPZTHyP,SZA,pop,"['pop', 'r&b']",7722448
19,50co4Is1HCEo8bhOyUWKpn,Young Thug,rap,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",7193557
20,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,pop,"['dance pop', 'houston rap', 'pop', 'trap queen']",6514628
21,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,pop,"['art pop', 'pop']",16219584
22,2cFrymmkijnjDg9SS92EPM,blackbear,pop,"['electropop', 'pop', 'pop rap']",4687326
23,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,pop,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",9392273
24,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,pop,"['colombian pop', 'dance pop', 'pop']",2855233
25,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,pop,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",4226228
26,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,rap,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",10551877
27,4kYSro6naA4h99UJvo89HB,Cardi B,pop,"['dance pop', 'pop', 'pop rap', 'rap']",19928595
28,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,pop,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",8920732
29,4dpARuHxo51G3z768sgnrY,Adele,pop,"['british soul', 'pop', 'pop soul', 'uk pop']",37749552
30,26VFTg2z8YR0cCuwLzESi2,Halsey,pop,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",17677489
31,04gDigrS5kc9YWfZHwBETP,Maroon 5,pop,"['pop', 'pop rock']",36306066
32,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,pop,"['puerto rican pop', 'trap latino']",11328048
33,0c173mlxpT3dSFRgMO8XPh,Big Sean,pop,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",9602942
