,id,name,artist_id,album_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,3nEHrvNNtgLv9rneTAYVr4,Heaven Takes You Home (feat. Connie Constance),1h6Cn3P4NGzXbaXidqURXs,2Dbe9L757CSQbhnbW5PVSH,78,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,214071,4
1,3Dr0xDJwXy6JkiHNJfv5zd,Wish It Was You,4xnMDfgEmXZEEDdITKcGuE,75wWmFkPXHTTbw47RRvuvb,61,0.644,0.616,1,-3.928,0,0.0391,0.0927,0.0,0.105,0.467,124.957,192000,4
2,10oKSzRcwbZsog2uq2gb4b,Escape (feat. Hayla),2avRYQUWQpIkzJOEkf0MdY,1VvswDkZLX5hUgFW7F79GI,74,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08,240445,4
3,2TlhOVwPyMJ0CbdgHS34JQ,Superhuman,521qvhdobR0GzhvU6TFw76,7vmsD5McUhD0U0Msyz3tOj,49,0.532,0.608,11,-9.452,1,0.0358,0.0808,0.000881,0.113,0.132,127.934,251250,4
4,5aXTfpNOqLj35ydEiLio67,Follow,60d24wfXkVzDSfLS6hyCjZ,0mHq8oTwln3MA72n3uHscJ,71,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085,221220,4
5,3AygCrAj6TZZ6mGkcvD9To,Take Your Time,1rSGNXhhYuWoq9BEz5DZGO,6HBagEXptqThTlMQnxSchh,56,0.583,0.94,7,-3.05,1,0.0551,0.0476,0.000206,0.0524,0.378,127.009,186142,4
6,76A1RRDEyHKtmV3Vh6PeVN,Savage,2o5jDhtHVPhrJdv3cEQ99Z,6xBP3A3LFhaVl1Hb7XBCsM,69,0.694,0.7,0,-5.53,0,0.0488,0.191,0.0,0.0719,0.261,127.965,167500,4
7,0PMNxtgeNSmPPp4aiA4T8F,Sideways,45eNHdiiabvmbp4erw26rg,06eiw663CL0vHSY7jvtZ3p,58,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926,251831,4
8,2hrlDOytJk8qOIXi9l6O5e,Cocoon,558dSyN1mMqsKrEBcKJ2p0,3FCgEIMhNRdxLWB3Twi5SB,51,0.599,0.903,1,-4.557,1,0.0561,0.0673,0.804,0.226,0.0362,132.013,187226,4
9,6IzwNz9jjHpvEqWmyLYUXa,Returning To You (feat. Alison May),6fcTRFpz0yH79qSKfof7lp,1kgjUVyQE2RmvsT6hRLCHG,46,0.439,0.761,3,-7.414,1,0.0399,0.488,0.0116,0.147,0.08,109.98,301091,4
10,3hQpBuFdNnFM38NjTeg0XQ,This Feeling,28uJnu5EsrGml2tBd7y8ts,5H39x8Yael0buJaEmmK7Xe,63,0.696,0.685,8,-6.64,0,0.0376,0.0156,0.406,0.205,0.206,124.985,196440,4
11,4548LyFomXQmDAINcFizEq,Learn To Love Again,4xnMDfgEmXZEEDdITKcGuE,442Ed4spkcuDL5gSFPwAjY,50,0.53,0.81,1,-3.335,1,0.0487,0.0417,2.89e-06,0.0759,0.415,167.842,224286,4
12,2YUVIkvZ2tPEZYTepX6oT9,Move It,0deIjoDjl9g9Zpw0sCIOHh,77jDTOiz2yoBETypeoYgza,59,0.796,0.894,0,-1.883,1,0.0502,0.000671,0.859,0.0685,0.619,127.009,201260,4
13,7tVVAfQ4zG2r0WVL5pQjVX,I Should Be Loving You (feat. YOU),0SfsnGyD8FpIN4U4WCkBZ5,6zRhfiOCAQ9RLWn7QpKyT2,30,0.679,0.689,4,-7.211,1,0.0403,0.00733,0.00137,0.43,0.136,125.992,208571,4
14,5wM6LOw2U6XeIFHfsgI6wU,Love You Back,4pb4rqWSoGUgxm63xmJ8xc,3RfQXBQeOMWJPwsy4BO2Na,62,0.51,0.715,11,-7.462,1,0.0366,0.00485,0.000115,0.0918,0.238,106.029,214104,4
15,0F9fZwEu2cWSgqoRWzAtAS,Live For,1rSGNXhhYuWoq9BEz5DZGO,075Aglr1S2AQZRNKv13Ho7,56,0.552,0.91,0,-3.226,1,0.0385,0.224,1.39e-05,0.134,0.369,126.007,171434,4
16,0WCEclDlYBnZXxpqaCbPIv,Tonight We Dance,0daugAjUgbJSqdlyYNwIbT,5KrvBuhVGtCbXLZOTgvZti,55,0.646,0.889,7,-3.307,0,0.0336,0.371,0.0225,0.167,0.641,123.006,189997,4
17,2gZwBmkSmsVfEPFWGuWTDk,Best Is Yet To Come (with Kyle Reynolds),2ZRQcIgzPCVaT9XKhXZIzh,2YNA1Y8T91S15TPTzMCaFx,65,0.569,0.85,4,-3.914,1,0.0369,0.0148,0.0,0.245,0.551,122.042,215201,4
18,5pF92bDyufEHqAOEf2Dtuu,Pressure,5ChF3i92IPZHduM7jN3dpg,1g10Y8UBz1389c7dGexIVF,50,0.627,0.972,6,-4.924,1,0.0523,5.42e-05,0.797,0.376,0.186,126.982,156378,4
19,1OU3OPHczBcfFU8cDzSzKT,The Best,3iN9k8uvm4WrgdlOigOH8D,2EbGQOhrYnc6oAOIKh4mUl,57,0.813,0.848,0,-4.582,1,0.0534,0.0453,1.51e-05,0.0696,0.603,123.978,158354,4
20,6UMbXtJQL8dRQfiLdFh63O,Love Is Gone - Kaskade Remix,20DZAfCuP1TKZl5KcY7z3Q,3DZ8e5ZJ8vN2jUBpLVgceZ,49,0.559,0.953,3,-3.786,0,0.135,0.044,0.0144,0.525,0.0848,125.964,243429,4
