,id,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,3cvjMNWg7t46NyDZzujfNg,"Bach: Cello Suites Nos. 1, 5 & 6",65,0,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,4
1,4SFBV7SRNG2e2kyL1F6kjU,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,1XORY4rQNhqkZxTze6Px90,Piano Book (Deluxe Edition),58,0,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,139307,4
2,3zLTPuucd3e6TxZnu2dlVS,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,230jpjk9w7MGupNMMvXoaN,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",58,0,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,212067,3
3,7h6GoPvGHC9uzZJ8bNvfIq,"Suite No. 3 in D Major, BWV 1068: II. Air",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,1WuKnZDy27KDdLr96p0D8A,Albinoni: Adagio in G minor / Pachelbel: Canon,57,0,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,365147,4
4,5x3TUfYzgZIdt0Kaop64ss,"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",62TD7509VQIxUe4WpwO0s3,Johann Pachelbel,35AZkwcf7WxuzNQ6iOhiIh,Relax,0,0,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,302093,4
5,1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",1QL7yTHrdahRMpvNtn6rI2,George Frideric Handel,657D9POYWMrDMK9MWNxPHL,Handel Sarabande,62,0,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3
6,5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,459INk8vcC0ebEef82WjIK,Erik Satie,4ZWDD7tNRRMB2eO4B5LsJh,Gnossienne No. 1,61,0,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4
7,0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,2y85NsbsBnGTXcXgHpj3PD,Songs from the Arc of Life,66,0,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3
8,1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune",1Uff91EOsvd99rtAupatMP,Claude Debussy,4Ll3RGpn0eVY6MMKPTP99C,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",63,0,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,3
9,6Uk28Hs2MulezLxMrd1rBD,Meditation: Méditation from Thaïs,1AoIc5YFH0aSFc4mKqBEeB,Jules Massenet,0ob8TUyLgKJjSAz2ji2k1C,Szymanowski: Violin Concerto No.1,0,0,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,337253,1
10,0dzl6bBvsIAfHLlTbBObTW,"An der schönen blauen Donau, Op.314",5goS0v24Fc1ydjCKQRwtjM,Johann Strauss II,1lAJc6zeDxHqqeRPHuqKZY,"Strauss, J.: An der schönen blauen Donau (The Blue Danube)",0,0,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,707173,4
11,0pCHzhuRt6kOU3FUEG3HnC,"Danse Macabre, Op.40, R.171",436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,7gKe289yqFDyoUSnIBkRjm,Danse Macabre,0,0,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,442693,4
12,0cqcRqZgkNHanWQ8slYA0v,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,2ANtgfhQkKpsW6EYSDqldz,Gustav Mahler,2xhhbZySK489esUAtrs65j,Mahler : Symphony No.5,54,0,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4
13,2kAgCRZPG3YQR2VMqRvLmb,The Lark Ascending,7wNkISK49lKeXuRaZcQVFe,Ralph Vaughan Williams,1Dki2WNHBcFGSs4ZACDBfq,The Lark Ascending,3,0,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,935360,4
14,3QqPgzOcv9titKufFR0gsQ,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",4kHtgiRnpmFIV5Tm4BIs8l,Sergei Prokofiev,5hOFetItodSTqXX2uKz5Pa,Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,46,0,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,564640,4
15,4rrrn8OLrttq7r9RgNXalU,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,5lVqgXqdoIH3W1wUM2hzPx,Rachmaninov: Piano Concerto No.2,56,0,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4
16,0k6P9cdEA9K3k0ASde2Kof,Rodrigo: Concierto de Aranjuez: II. Adagio,3eqv9LW7ZXlYWXVFjHS4Mr,Joaquín Rodrigo,2K6XjvDKO2HTCDqGZkph9e,Aranjuez,51,0,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,640267,4
17,419qlOGNXoyICx4jO0hqaj,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,7lj4fT2SzKOFw8rvSrVivF,Rachmaninov Variations,52,0,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4
18,419qlOGNXoyICx4jO0hqaj,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,7lj4fT2SzKOFw8rvSrVivF,Rachmaninov Variations,52,0,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4
19,419qlOGNXoyICx4jO0hqaj,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,7lj4fT2SzKOFw8rvSrVivF,Rachmaninov Variations,52,2,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4
20,419qlOGNXoyICx4jO0hqaj,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,7lj4fT2SzKOFw8rvSrVivF,Rachmaninov Variations,52,2,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4
21,3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,4bNwPPpk01D8pVV9IFSBde,"Beethoven: Piano Sonatas, Vol.3",66,0,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3
22,04eShjKTWijeJJqGnhxpYK,Scheherazade: The Tale of the Kalendar Prince,2kXJ68O899XvWOBdpzlXgs,Nikolai Rimsky-Korsakov,3QXtNXmOyrOfZ2mWG4rw9v,Rimsky-Korsakov: Scheherezade,53,0,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,200360,3
23,5pjDwtMPly0cNMbuGXhUOI,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",430byzy0c5bPn5opiu0SRd,Edward Elgar,3M8H71qJ70vI600QZH2AdJ,Impressions,49,0,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,478573,4
