id,duration_ms,tempo,loudness,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature
17i5jLpzndlQhbS4SrTd0B,0.08150084740340176,0.3439393299450459,0.5780718598894108,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,3cvjMNWg7t46NyDZzujfNg,"Bach: Cello Suites Nos. 1, 5 & 6",65,0,0.275,0.157,7,1,0.0636,0.89,0.8420000000000001,0.18600000000000003,0.304,4
4SFBV7SRNG2e2kyL1F6kjU,0.07085867476936354,0.6271147465589172,0.42364019156467625,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,1XORY4rQNhqkZxTze6Px90,Piano Book (Deluxe Edition),58,0,0.221,0.126,0,1,0.0447,0.9890000000000001,0.897,0.102,0.21600000000000003,4
3zLTPuucd3e6TxZnu2dlVS,0.13054606248636197,0.5894775373439017,0.299562732804294,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,230jpjk9w7MGupNMMvXoaN,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",58,0,0.289,0.0306,9,0,0.0446,0.987,0.9109999999999999,0.102,0.11800000000000001,3
7h6GoPvGHC9uzZJ8bNvfIq,0.25612255110260884,0.3744996175271133,0.3809545843648058,"Suite No. 3 in D Major, BWV 1068: II. Air",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,1WuKnZDy27KDdLr96p0D8A,Albinoni: Adagio in G minor / Pachelbel: Canon,57,0,0.0753,0.07,2,1,0.044000000000000004,0.9179999999999999,0.9470000000000001,0.146,0.0625,4
5x3TUfYzgZIdt0Kaop64ss,0.2043973099658906,0.39904358313740396,0.6386877356962727,"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",62TD7509VQIxUe4WpwO0s3,Johann Pachelbel,35AZkwcf7WxuzNQ6iOhiIh,Relax,0,0,0.13,0.158,2,1,0.035,0.748,0.924,0.1,0.0998,4
1upQiytDIEZfl9ItruoXuC,0.12660846681509214,0.31611032113643717,0.45570645258311554,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",1QL7yTHrdahRMpvNtn6rI2,George Frideric Handel,657D9POYWMrDMK9MWNxPHL,Handel Sarabande,62,0,0.0939,0.0336,2,0,0.0606,0.927,0.83,0.0954,0.0516,3
5fdp9rXfEixCGLM1Og4EN1,0.19979278402779943,0.33707828257941586,0.28047567267427065,Gnossienne No. 1,459INk8vcC0ebEef82WjIK,Erik Satie,4ZWDD7tNRRMB2eO4B5LsJh,Gnossienne No. 1,61,0,0.376,0.00579,5,0,0.0576,0.996,0.9440000000000001,0.0882,0.0369,4
0jOnZhF75V68VsBObWx2XO,0.0995374965751121,0.6013647008029583,0.29391759017189917,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,2y85NsbsBnGTXcXgHpj3PD,Songs from the Arc of Life,66,0,0.16899999999999998,0.0161,9,0,0.0442,0.986,0.86,0.0805,0.0573,3
1cmigB9I6IRpFqjIbzvSQB,0.1985458787318973,0.6198641869283438,0.23996483353769985,"Suite bergamasque, L. 75: III. Clair de lune",1Uff91EOsvd99rtAupatMP,Claude Debussy,4Ll3RGpn0eVY6MMKPTP99C,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",63,0,0.335,0.0050100000000000006,1,1,0.0451,0.993,0.919,0.0618,0.0383,3
6Uk28Hs2MulezLxMrd1rBD,0.23324019825794204,0.4260184807144499,0.47018948245147263,Meditation: Méditation from Thaïs,1AoIc5YFH0aSFc4mKqBEeB,Jules Massenet,0ob8TUyLgKJjSAz2ji2k1C,Szymanowski: Violin Concerto No.1,0,0,0.205,0.0686,4,0,0.0462,0.873,0.402,0.0909,0.0359,1
