,id,name,artist_id,album_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,62Yo3FDddWY8ydu6PW2wyz,Nail Tech,2LIk90788K0zvyj2JJVwkJ,72r4dr0xDsXOWRwP2o7ZIP,82,0.677,0.557,1,-8.409,1,0.0694,0.00508,8.36e-06,0.0984,0.1,150.127,206385,4
1,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),1RyvyyTE3xzB2ZywiAwp0i,5uCEoLCj3ZZZ1EtzQdQWVl,76,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
2,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,83,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
3,5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),6l3HvQ5sa6mXTsMTB19rO5,4JAvwK4APPArjIsOdGoJXX,77,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,218210,4
4,1fxYz1s15pyZLsJT0Hdh1m,late at night,757aE44tKEUQEqRuT6GnEB,2WFC0XUBROo4X2vxLwtB4u,69,0.643,0.403,1,-11.254,0,0.41,0.343,0.0,0.138,0.111,98.54,174682,4
5,40uMIn2zJLAQhNXghRjBed,Motley Crew,246dkjvS1zLTtiykXe5h60,4tokbQaFXRrq8keVGBD9vb,77,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,184213,4
6,5QNW6Vx14N4OfJ7D0eDg0d,Neck & Wrist (feat. JAY-Z & Pharrell),0ONHkAv9pCAFxb0zJwDNTy,0MomByEXmXNIZEuN2cJkw3,69,0.625,0.542,9,-4.365,1,0.266,0.0223,0.0,0.377,0.328,152.403,209315,4
7,3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,2LIk90788K0zvyj2JJVwkJ,5g2INX6dnMIJG0xKygXwF3,75,0.792,0.793,5,-6.185,0,0.0841,0.0872,0.0,0.22,0.775,123.031,156578,4
8,1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black on Black),2LIk90788K0zvyj2JJVwkJ,4K3SQSfKMXLcVnyUSFELZw,74,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928,157675,4
9,2bPI4TKM4oTxl2SijUXM2J,AHHH HA,3hcs9uc56yIGFCSy9leWe7,0vRN2oePynCSTspdY9NDsM,67,0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005,186538,4
10,18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,6AgTAQt8XS6jRWi4sX7w49,7KSf6p0G0mZd7j60etVTwT,75,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
11,6qHhHEBX3W1ahFasgShdih,Magic City,14CHVeJGrR5xgUGQFV5BVM,1FXatEkVfJW6JbqNHB6acw,62,0.793,0.717,3,-6.908,0,0.341,0.0995,0.0,0.136,0.678,145.134,158772,4
12,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,81,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
13,1HvTxgCj0mTzQlEo0zLvFb,In My Head,6jGMq4yGs7aQzuGsMgVgZR,5pK7kqzGXSY7xoLMhfHlql,85,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,135264,4
14,5ChX0Yt1wPpRJFPPecJZPh,Dreams Unfold,6C1ohJrd5VydigQtaGy5Wa,5sAWMGha4PtgcM7CWksfE6,64,0.869,0.62,9,-5.308,1,0.191,0.36,0.0,0.103,0.961,148.041,201081,4
15,6ZoZ4KGIDD23DohdVk0Ybw,Wants and Needs (feat. Lil Baby),3TVXtAsR1Inumwj472S9r4,6RxuBWYLCMtRHl7IpoVuhY,53,0.588,0.412,7,-7.397,0,0.329,0.0574,7.96e-06,0.114,0.121,136.068,194090,4
16,33gwZOGJWEZ7dRWPqPxBEZ,Wolves (feat. Post Malone),0c173mlxpT3dSFRgMO8XPh,6slkiHeFK3wW2D1mao0TX3,75,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4
17,57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),2LIk90788K0zvyj2JJVwkJ,5g2INX6dnMIJG0xKygXwF3,72,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,168906,4
18,3J4VKkUpLvomXJbn9ZAypO,Sharing Locations (feat. Lil Baby & Lil Durk),20sxb77xiYeusSH8cVdatc,0q6qOUfC4ikWtv62KCnoip,69,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,161053,4
19,2S9oc7DcLyDxKfJ8vY7SDi,Ice Cream (feat. Rick Ross),0Y4inQK6OespitzD6ijMwb,7ciCOxjckrARP4Ngk1bLb0,60,0.628,0.644,6,-7.429,0,0.513,0.043,0.0,0.185,0.248,159.918,123750,4
20,6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),1xr2G8Hlx4QWmT9HaUbmoO,3ihwKkIMJWmmp1huNH0iWC,75,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,215693,4
21,0yoYpGpCKMdzRWRJVyZewr,Free Chaotic,6MtptleIGJ3C7lOpGf9Hxc,6OOqyEEPgcF7ofECJn45jL,47,0.835,0.682,11,-6.13,1,0.351,0.0115,0.0,0.261,0.755,80.442,159400,4
22,7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,31W5EY0aAly4Qieq6OFu6I,1VxVQAgekwkFo8yoXvFZ8o,74,0.849,0.631,3,-4.241,0,0.0637,0.171,0.0,0.149,0.55,135.997,215304,4
23,2DTpP3caqX3QdJIEoS83mD,Your Heart,6C1ohJrd5VydigQtaGy5Wa,1VKFaHoIvkZTzsSRad2jDZ,69,0.861,0.637,6,-7.701,0,0.133,0.392,0.0,0.0929,0.754,87.006,198621,4
24,37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),3TVXtAsR1Inumwj472S9r4,3SpBlxme9WbeQdI9kx7KAV,79,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4
25,4huBDGP4I3S0pYI0EaRN1c,City of Gods,14CHVeJGrR5xgUGQFV5BVM,0Nzff60OICCUBrtr980elH,75,0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,256000,4
26,5IUtvfNvOyVYZUa6AJFrnP,Spicy (feat. Post Malone),7c0XG5cIJTrrAgEC3ULPiq,6M4Nu5UgX097dxeF2lm9P8,74,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4
27,1JXBNvlDEl2epKSJ9EOgKX,NOT SOBER (feat. Polo G & Stunna Gambino),2tIP7SsRs7vjIcLrU85W8J,4bZJWQhHKJckFLJuYdvyX2,71,0.671,0.639,2,-6.852,0,0.134,0.0928,0.0,0.0941,0.385,119.82,216000,5
28,2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2LIk90788K0zvyj2JJVwkJ,36jrqYRpGVpJqztuqCii22,75,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
29,0RbW8kWozrVSIGb4V13o0o,Hurricane,5K4W6rqBFWDnAN6FQUkS6x,340MjPcVdiQRnMigrPybZA,28,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,243187,4
30,4ZUNw5tDBZTOqzPEVIYyOy,V12 (feat. Lil Uzi Vert),6ASri4ePR7RlsvIQgWPJpS,2PcHsFm2lY8QEDmVxTvVaW,60,0.705,0.681,4,-3.286,0,0.148,0.411,0.0,0.121,0.626,164.941,177836,4
31,1IeCWMwZs4rCmwPOjZYWN7,Poke It Out (feat. J. Cole),67nwj3Y5sZQLl72VNUHEYE,2DXRWlFTI8l2YvBD4iFUK8,61,0.778,0.934,9,-3.488,1,0.321,0.184,0.0,0.123,0.803,98.97,183333,4
32,4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,6C1ohJrd5VydigQtaGy5Wa,48ahZJLcagb8VTgRAuv6WQ,75,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,218448,3
33,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),3TVXtAsR1Inumwj472S9r4,0qGdc7fNq9RNIPEzZufa43,79,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
34,7zl7kehxesNEo2pYkKXTSe,Killer (feat. Jack Harlow & Cordae) - Remix,7dGJo4pcD2V6oG8kP0tJRR,0H1ASykMKIX8PYfqxbxBar,69,0.924,0.73,11,-6.125,0,0.274,0.0525,0.0,0.113,0.848,99.01,236666,4
