"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
0,"66IULVOTImQG2u0cJ3Ls04","Scotty McCreery","Five More Minutes",238954,"Five More Minutes",1,"2017-05-05",1,0.517,0.652,7,-6.153,1,0.0323,0.325,0,0.109,0.333,156.07,4
1,"6Ymvlzom4TQeoKqAWsZRD8","Kip Moore","Somethin' 'Bout A Truck",213826,"Up All Night",3,"2012-01-01",11,0.554,0.794,11,-5.417,1,0.035,0.0697,0,0.63,0.79,176.01,4
2,"2uZhNjlUQ9mnt0rS7hcAgF","Eric Church","Smoke A Little Smoke",191333,"Carolina",7,"2009-01-01",12,0.77,0.641,10,-6.077,0,0.035,0.0206,0.00023,0.106,0.639,96.98,4
3,"2xYlyywNgefLCRDG8hlxZq","John Denver","Take Me Home, Country Roads - Rerecorded",197813,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",1,"1997-06-17",11,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,4
4,"0WB48shl2wAH4KqyQkQ8nJ","Joe Nichols","Brokenheartsville",230360,"Man With A Memory",3,"2002-01-01",12,0.686,0.631,10,-5.182,1,0.0232,0.126,0.000183,0.107,0.509,103.953,4
5,"5PxpphUBj6Dfqrii0irlMf","Montgomery Gentry","Where I Come From",201840,"Where I Come From - Single",1,"2011-07-26",1,0.62,0.837,1,-4.239,1,0.0303,0.012,9.38e-06,0.247,0.532,90.015,4
6,"5QHElgktygMkgRdpPhXfn2","Brooks & Dunn","Red Dirt Road",260346,"#1s ... and then some",9,"2009-09-08",30,0.553,0.864,5,-4.038,1,0.0414,0.0736,0.000309,0.138,0.435,136.128,4
7,"0Ox458KpvZQ1Kuj9mUNPLL","Kenny Chesney","I Go Back",240346,"Greatest Hits II",11,"2009-05-19",17,0.513,0.805,5,-6.918,1,0.0466,0.0421,0,0.208,0.69,89.963,4
8,"4I5azUh7XiUcjFzAZUPfzX","Kenny Chesney","Setting the World On Fire",220266,"Setting the World On Fire",1,"2016",1,0.608,0.833,0,-4.458,1,0.036,0.0155,2.07e-06,0.086,0.395,93.977,4
9,"39FwE8edwuyiaa4PrGBkP7","Blake Shelton","Boys 'Round Here (feat. Pistol Annies & Friends)",288760,"Based on a True Story... (Deluxe Edition)",1,"2013-03-26",14,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,4
10,"7B6m8tHAYZsOKOKMU5SR2n","Rodney Atkins","Take A Back Road",209426,"Take A Back Road",1,"2011-10-04",13,0.581,0.856,3,-4.0,1,0.0783,0.183,0,0.0871,0.918,169.902,4
11,"1enjzQYx2hiQY75SBG1ZRA","Jake Owen","Barefoot Blue Jean Night",168533,"Barefoot Blue Jean Night",1,"2011-04-10",1,0.604,0.811,4,-4.117,1,0.0375,0.148,0,0.122,0.827,172.004,4
12,"6y35xDJFzpy1FIa6qCMA59","Chris Janson","Buy Me a Boat",179077,"Buy Me a Boat",1,"2015-04-23",1,0.574,0.745,2,-6.663,1,0.0507,0.319,0,0.11,0.693,154.042,4
13,"1yEwEiTpsaPhQi9lb5EVV4","Zac Brown Band","Knee Deep (feat. Jimmy Buffett)",203173,"You Get What You Give (Deluxe)",2,"2010-09-20",16,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.61,90.987,4
14,"05ZACkzW8YbRq3eFgIfSNB","Eric Church","Springsteen",263386,"Chief",9,"2011-01-01",11,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,4
15,"0sl8awl4hoj9cjU2AJqBjl","Toby Keith","Made In America",196053,"Made In America",1,"2011-01-01",1,0.482,0.753,9,-4.997,1,0.0367,0.0775,0,0.105,0.467,172.149,4
16,"7E2DqvnVtbIrFrL5X6YH9Q","Toby Keith","Beer For My Horses",204000,"Unleashed",5,"2002-01-01",13,0.717,0.85,10,-5.329,1,0.0473,0.368,0,0.0495,0.805,119.005,4
17,"1cktZnxiONH0hR6Q3DKy8h","Eric Church","Drink In My Hand",191306,"Chief",2,"2011-01-01",11,0.626,0.913,0,-4.452,1,0.0318,0.00635,0,0.293,0.946,113.044,4
18,"1zWZvrk13cL8Sl3VLeG57F","Thomas Rhett","T-Shirt",227693,"Tangled Up",7,"2015-01-01",13,0.634,0.862,2,-5.337,1,0.0376,0.0287,0,0.0217,0.767,95.989,4
19,"0M7mWKqwTIaVjYyxfZmtTa","Toby Keith","Courtesy Of The Red, White And Blue (The Angry American)",195533,"Unleashed",1,"2002-01-01",13,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,4
20,"4dGJf1SER1T6ooX46vwzRB","Zac Brown Band","Chicken Fried",238146,"The Foundation",6,"2008-11-17",12,0.566,0.713,6,-4.25,1,0.0417,0.645,0,0.114,0.807,169.864,4
21,"1vD4DN56ued7pQklJBDesw","Toby Keith","American Ride",165693,"American Ride",1,"2009-01-01",12,0.518,0.906,9,-2.845,1,0.0573,0.0889,0,0.309,0.751,174.099,4
22,"7yOiGdQrf6ye6ZcCKAPYe3","Jerrod Niemann","Drink to That All Night",225786,"Drink to That All Night",1,"2013-09-30",1,0.64,0.844,9,-5.637,0,0.043,0.0384,0,0.105,0.502,115.997,4
23,"0H04yVa3DJxoXbLBpAb7iV","Chris Young","I'm Comin' Over",197280,"I'm Comin' Over",2,"2015-11-13",11,0.575,0.845,10,-3.838,1,0.035,0.0282,0,0.0814,0.376,127.997,4
24,"3qn7FzYkDLJBbOnRwSsDWV","Jason Aldean","Night Train",232306,"Night Train",9,"2012-10-16",15,0.493,0.708,5,-5.196,1,0.0291,0.0575,0,0.175,0.547,158.037,4
