"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
0,"6x1AniEcucbuK0eapGtTkS","Creedence Clearwater Revival","Suzie Q",517159,"Creedence Clearwater Revival (40th Anniversary Edition)",3,"1968-07-05",12,0.438,0.597,9,-11.309,0,0.0325,0.0553,0.00248,0.162,0.718,131.855,4
1,"58qEQujDJy5ma0cWRnB6dh","Bob Marley & The Wailers","Is This Love",231546,"Kaya - Deluxe Edition",3,"1978-03-23",24,0.766,0.529,6,-10.306,0,0.121,0.00884,0,0.0552,0.865,122.456,4
2,"5J2CHimS7dWYMImCHkEFaJ","The Beatles","A Hard Day's Night - Remastered 2009",154200,"A Hard Day's Night (Remastered)",1,"1964-07-10",13,0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,4
3,"3aoDEt6zSuYQ47gzarlaVo","Pink Floyd","Money - 2011 Remastered Version",382834,"The Dark Side Of The Moon (2011 Remastered Version)",6,"1973-03-16",20,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,1
4,"0wJoRiX5K5BxlqZTolB2LD","Jimi Hendrix","Purple Haze",170813,"Are You Experienced",1,"1967-05-12",17,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4
5,"5lQKRR3MdJLtAwNBiT8Cq0","Eagles","Lyin' Eyes - 2013 Remaster",381998,"One of These Nights (2013 Remaster)",5,"1975",9,0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,4
6,"5MMnwYs0hIxkENRsbkWJ2G","Deep Purple","Smoke On The Water - Remastered 2012",340742,"Machine Head (Remastered)",5,"1972-03-25",8,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4
7,"24NwBd5vZ2CK8VOQVnqdxr","Aerosmith","Sweet Emotion",274133,"Toys In The Attic",6,"1975-04-08",9,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4
8,"5oI1A8G8jH5rxt35dPiHIB","Blue Öyster Cult","(Don't Fear) The Reaper",308440,"Agents Of Fortune",3,"1976",14,0.368,0.928,9,-8.369,0,0.0593,0.00125,0.00111,0.301,0.532,141.175,4
9,"3LTMnFa0hhwisyq6ILahyj","Dire Straits","Sultans Of Swing",348624,"Dire Straits (Remastered)",6,"1978-10-07",9,0.731,0.797,5,-9.992,1,0.0309,0.0771,0.0248,0.334,0.933,148.192,4
10,"51LY0VVo4mu1Q8HpkAldQZ","Fleetwood Mac","Dreams",257800,"Rumours (Super Deluxe)",2,"1977-02-04",58,0.829,0.487,0,-9.751,1,0.0278,0.0671,0.00263,0.127,0.776,120.173,4
11,"2zYzyRzz6pRmhPzyfMEC8s","AC/DC","Highway to Hell",208400,"Highway to Hell",1,"1979-07-27",10,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
12,"70YvYr2hGlS01bKRIho1HM","ZZ Top","La Grange - 2005 Remaster",230480,"Tres Hombres (Expanded 2006 Remaster)",8,"1973-07-26",13,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,4
13,"5ERnPWGQc5QK7M7HW3rjC6","Black Sabbath","Paranoid",168440,"Paranoid (Remastered)",2,"1970-09-18",8,0.425,0.622,4,-11.503,0,0.0744,8.89e-05,0.00164,0.17,0.376,162.474,4
14,"6Gi8vIT6In8RrT2eTKxoVR","The Rolling Stones","Brown Sugar",228666,"Sticky Fingers (Remastered)",1,"1971-04-23",10,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,4
15,"3TfJFglXfKlh0UIh813ilq","Simon & Garfunkel","Mrs. Robinson",242600,"Bookends",10,"1968-04-03",14,0.61,0.466,6,-13.331,0,0.0426,0.772,1.33e-05,0.0932,0.836,91.965,4
16,"4TFnAk8ZI9j6eJk5ahSyR5","Madness","One Step Beyond",138640,"One Step Beyond (35th Anniversary)",1,"1979-10-19",29,0.49,0.884,0,-7.223,0,0.0449,0.00225,0.0152,0.282,0.817,154.883,4
