"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
0,"6TaqooOXAEcijL6G1AWS2K","Snakehips","All My Friends (feat. Tinashe & Chance the Rapper)",229746,"All My Friends (feat. Tinashe & Chance the Rapper)",1,"2015-10-21",1,0.681,0.521,0,-5.849,1,0.141,0.12,8.41e-05,0.108,0.181,94.997,4
1,"3n3Ppam7vgaVa1iaRUc9Lp","The Killers","Mr. Brightside",222200,"Hot Fuss",2,"2004-06-15",14,0.355,0.918,1,-4.36,1,0.0746,0.00119,0,0.0971,0.24,148.114,4
2,"3yrWiNA19yBryWRnC6KbVi","Earth, Wind & Fire","September",216346,"Now, Then & Forever",13,"2013-09-13",16,0.69,0.918,9,-3.701,1,0.031,0.195,0.000163,0.2,0.982,125.909,4
3,"0mXKsmuLaSnzfitYEGQDaq","Jet","Are You Gonna Be My Girl?",213800,"Get Born",2,"2003",13,0.606,0.957,2,-3.404,1,0.0812,0.00117,0.000295,0.14,0.603,105.109,4
4,"4lAYMPLPFOovwTCmtTt9b5","Smash Mouth","I'm A Believer",185306,"Smash Mouth (International Version)",13,"2001-01-01",15,0.549,0.981,11,-3.558,0,0.059,0.0178,1.8e-06,0.438,0.873,82.331,4
5,"1UxisKljksGRNwJBPp4Tri","Mark Ronson","Valerie (feat. Amy Winehouse) - Version Revisited",219413,"Version Digital Edition",5,"2007-06-22",15,0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
6,"3ydfhgIZIc2j39NLIhpJpq","CeeLo Green","Fuck You",223694,"The Lady Killer (Deluxe)",17,"2010-11-09",17,0.693,0.879,0,-3.988,1,0.0578,0.193,0,0.124,0.753,127.457,4
7,"15O20RQyWJgKrkHID9ynT9","Flume","Never Be Like You",233337,"Skin",2,"2016-05-27",16,0.443,0.558,0,-5.436,1,0.0624,0.441,0,0.163,0.248,116.838,4
8,"5QldjuXcxplhjjUqLrzl6H","MGMT","Kids",302840,"Oracular Spectacular/Congratulations",5,"2007",19,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
9,"5HuqzFfq2ulY1iBAW5CxLe","Clean Bandit","Rather Be (feat. Jess Glynne)",227833,"I Cry When I Laugh",9,"2015",13,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4
10,"6BnONjR7itGMEqwxKTIlRM","Capital Cities","Safe And Sound",192789,"In A Tidal Wave Of Mystery (Deluxe Edition)",1,"2013",16,0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,5
11,"1gihuPhrLraKYrJMAEONyc","Calvin Harris","Feel So Close - Radio Edit",206413,"18 Months",3,"2012-10-29",15,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4
12,"6ebkx7Q5tTxrCxKq4GYj0Y","Flo Rida","Club Can't Handle Me (feat. David Guetta)",234560,"Only One Flo (Part 1)",7,"2010-11-24",8,0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
13,"4qABfS1RaGVXdBhj2BQyhO","Galantis","Runaway (U & I)",227073,"Runaway (U & I)",1,"2014-10-05",1,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,4
14,"55h7vJchibLdUkxdlX3fK7","Bruno Mars","Treasure",178560,"Unorthodox Jukebox",4,"2012-12-07",10,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,4
15,"5MMu9zi4UrctTCXQqNJUCY","Cheat Codes","Feels Great (feat. Fetty Wap & CVBZ)",193568,"Feels Great (feat. Fetty Wap & CVBZ)",1,"2017-10-13",1,0.522,0.833,0,-3.715,1,0.0575,0.0454,0,0.127,0.296,180.009,4
16,"0GO8y8jQk1PkHzS31d699N","Grouplove","Tongue Tied",218013,"Never Trust a Happy Song",2,"2011-09-02",12,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
17,"2iUmqdfGZcHIhS3b9E9EWq","Neon Trees","Everybody Talks",177280,"Picture Show",3,"2012-01-01",11,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
18,"2i0AUcEnsDm3dsqLrFWUCq","Hot Chelle Rae","Tonight Tonight",200466,"Whatever",2,"2011-11-25",11,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
19,"1wYJnu1hMrYMNrkXKTVrYd","The All-American Rejects","Gives You Hell",213106,"When The World Comes Down",4,"2008-01-01",12,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
20,"5619Ojc6t9evEEs3B7Drhe","Metro Station","Shake It",179946,"Metro Station",4,"2007-09-18",10,0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,4
21,"4WNXKXfcIKEw2szrNit97M","Bag Raiders","Shooting Stars",235813,"Bag Raiders",3,"2010-11-21",11,0.648,0.725,11,-6.173,1,0.0455,0.0888,0.0192,0.0964,0.442,124.968,4
22,"5o2UsVpnpQcDDRcuEPzGIm","The Wombats","Tokyo (Vampires & Wolves)",225526,"The Wombats Proudly Present... This Modern Glitch",2,"2011-04-22",10,0.457,0.911,0,-5.52,1,0.075,0.000913,0,0.37,0.572,146.394,4
23,"3E7dfMvvCLUddWissuqMwr","Miley Cyrus","Party In The U.S.A.",202066,"The Time Of Our Lives (International Version)",2,"2009-01-01",8,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
24,"1DqdF42leyFIzqNDv9CjId","Taio Cruz","Dynamite",203866,"Rokstarr",1,"2010-01-01",11,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,4
