"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
0,"7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide",204280,"Dream Your Life Away",4,"2014-09-08",13,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
1,"1QdpGjYp035BXJB7qPAzl9","Jason Derulo","Trumpets",217306,"Tattoos (Deluxe Edition)",5,"2013-09-10",15,0.627,0.703,0,-4.884,1,0.236,0.563,0,0.0962,0.64,81.897,4
2,"0CcQNd8CINkwQfe1RDtGV6","Imagine Dragons","Believer",204346,"Evolve",3,"2017-06-23",11,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,4
3,"2Oehrcv4Kov0SuIgWyQY9e","Imagine Dragons","Demons",175200,"Night Visions (Deluxe)",4,"2012-09-04",20,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,4
4,"1fidCEsYlaVE3pHwKCvpFZ","Nico & Vinz","Am I Wrong",245866,"Black Star Elephant",2,"2014",21,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,4
5,"6zBdVVksaTQeAzwfszbovz","Mikolas Josef","Lie to Me",171080,"Lie to Me",1,"2018-04-06",2,0.835,0.698,6,-6.52,1,0.111,0.00512,1.88e-06,0.382,0.664,105.997,4
6,"25zlnOAzbVoOzIeXSvQFf1","Pop Smoke","Got It On Me",164579,"Shoot For The Stars Aim For The Moon",17,"2020-07-03",19,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,4
7,"5nWVyZaCwtfAkBnwDuXjBh","Ty Dolla $ign","Spicy (feat. Post Malone)",144027,"Spicy (feat. Post Malone)",1,"2020-10-21",1,0.784,0.496,7,-5.746,1,0.0435,0.14,0,0.113,0.132,100.002,4
8,"5AE9iVHWiJLY5CUKmvXkKd","Robin Schulz","OK",189306,"The Afterlove",14,"2017-03-24",14,0.653,0.81,7,-6.032,0,0.0558,0.118,0,0.126,0.583,121.951,4
9,"7BVwi9cIzSc6tpyxsp47vJ","Vance Joy","Mess Is Mine",223640,"Dream Your Life Away",2,"2014-09-08",13,0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,1
10,"5pmL3RzOy3IvGFaSDi4hZL","Taio Cruz","Hangover",244906,"TY.O (International Version)",1,"2011-01-01",11,0.606,0.883,3,-3.243,1,0.0423,0.00872,0,0.0698,0.608,128.053,4
11,"2f0pn9DkEJwAzXApnFh5cr","BANNERS","Someone To You",219801,"Where The Shadow Ends",3,"2019-10-04",12,0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4
12,"6w8pFOKn42O418qwcQElZ3","Dean Lewis","Waves",240013,"A Place We Knew",5,"2019-03-22",12,0.518,0.729,11,-7.193,0,0.0452,0.183,0,0.0643,0.343,156.879,4
13,"5Hroj5K7vLpIG4FNCRIjbP","American Authors","Best Day Of My Life",194240,"Oh, What A Life",3,"2014-01-01",11,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4
14,"1mwt9hzaH7idmC5UCoOUkz","Rihanna","Diamonds",225200,"Diamonds",1,"2012-09-27",1,0.553,0.674,11,-6.057,0,0.045,0.00117,0,0.16,0.369,91.958,4
15,"2RiBogNRfulkNf7fVbPOrJ","Vance Joy","Saturday Sun",214720,"Nation of Two",4,"2018-02-23",13,0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,4
16,"4lhqb6JvbHId48OUJGwymk","Avicii","Hey Brother",255093,"True",3,"2013-01-01",10,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,4
17,"6Tt1P5CLUrl59oSOTVxON0","Bastille","Joy",192681,"Doom Days",11,"2019-06-14",11,0.555,0.923,6,-4.748,0,0.161,0.197,0,0.0778,0.363,118.007,4
18,"43CHdbHYdcbUWP10UFKyZ7","Dermot Kennedy","Giants",177173,"Without Fear",1,"2019-10-04",14,0.572,0.833,8,-5.291,0,0.0754,0.014,5.77e-05,0.129,0.588,158.104,4
19,"2KrN3MCNztKcSleZgHEj83","Mumford & Sons","Little Lion Man",245173,"Sigh No More",7,"2009-01-01",12,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585,4
20,"3dYD57lRAUcMHufyqn9GcI","Hozier","Take Me To Church",241688,"Hozier",1,"2014-07-20",13,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,4
21,"6Knv6wdA0luoMUuuoYi2i1","Flo Rida","My House",192190,"My House",2,"2015-04-07",7,0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,4
22,"4kbj5MwxO1bq9wjT5g9HaA","WALK THE MOON","Shut Up and Dance",199080,"TALKING IS HARD",3,"2014-12-02",12,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
23,"0fYVliAYKHuPmECRs1pbRf","X Ambassadors","Renegades",195200,"VHS",2,"2015-06-30",20,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
24,"0KAiuUOrLTIkzkpfpn9jb9","Train","Drive By",195973,"California 37",2,"2012-04-17",11,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,4
25,"1oew3nFNY3vMacJAsvry0S","Rixton","Me And My Broken Heart",193733,"Let The Road",5,"2014-01-01",10,0.545,0.783,5,-4.261,0,0.0345,0.00489,0,0.132,0.551,174.084,4
26,"1K3LRUEcUz5FMtPYyg0F45","The Lumineers","Ho Hey",163133,"The Lumineers (Deluxe Edition)",5,"2012",16,0.682,0.471,0,-9.182,1,0.0301,0.765,0,0.0908,0.421,79.907,4
27,"2GiJYvgVaD2HtM8GqD9EgQ","BØRNS","Electric Love",218106,"Dopamine",3,"2015-10-16",11,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
28,"2ihCaVdNZmnHZWt0fvAM7B","Of Monsters and Men","Little Talks",266600,"My Head Is An Animal",6,"2012-01-01",12,0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
29,"4tViDtaHuSLnh7HVJTrKhs","Dermot Kennedy","Power Over Me",206960,"Without Fear",3,"2019-10-04",13,0.319,0.841,9,-4.232,0,0.147,0.0518,0,0.106,0.483,173.868,3
30,"3nnG7AM9QopHVPEuLX3Khk","James Bay","Let It Go",260533,"Chaos And The Calm",3,"2015-03-20",12,0.536,0.311,1,-10.396,1,0.0288,0.82,1.65e-05,0.107,0.246,147.486,4
