"n","id","artist_name","name","duration_ms","album_name","track_number","release_date","total_tracks","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
0,"5SixeLvPsYpk7qq9lo5xYg","Chlöe","Have Mercy",148778,"Have Mercy",1,"2021-09-10",1,0.903,0.535,9,-6.434,1,0.0742,0.297,0,0.345,0.508,130.022,4
1,"4Oun2ylbjFKMPTiaSbbCih","Cardi B","WAP (feat. Megan Thee Stallion)",187541,"WAP (feat. Megan Thee Stallion)",1,"2020-08-07",1,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4
2,"3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know",210560,"Planet Her",5,"2021-06-25",14,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,4
3,"26wHoNlm9l7SMCO7M6vuNn","Nicki Minaj","Bussin",136760,"Bussin",1,"2022-02-11",1,0.882,0.72,11,-8.068,1,0.0531,0.0496,1.84e-05,0.133,0.672,139.992,4
4,"5zNW5ARjYhJQJz1AChP33n","Megan Thee Stallion","Thot Shit",184634,"Thot Shit",1,"2021-06-11",1,0.95,0.693,9,-3.424,1,0.0898,0.0133,0,0.173,0.891,130.02,4
5,"3nY8AqaMNNHHLYV4380ol0","StarBoi3","Dick (feat. Doja Cat)",175238,"Dick (feat. Doja Cat)",1,"2021-04-23",1,0.647,0.608,9,-6.831,1,0.42,0.13,0,0.0584,0.474,125.994,4
6,"0TOcuZsEDLaN6faLS0rsi2","DSL","WOW",156082,"WOW",1,"2021-12-03",1,0.779,0.514,9,-8.25,1,0.346,0.251,1.87e-05,0.101,0.611,142.853,4
7,"0W6I02J9xcqK8MtSeosEXb","Doja Cat","Get Into It (Yuh)",138293,"Planet Her",4,"2021-06-25",14,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,4
8,"38RJVU2LTPjW7xiXqCUlDn","ari hicks","Sucker",175866,"Sucker",1,"2022-04-13",1,0.725,0.589,9,-8.082,0,0.0435,0.114,0.00265,0.132,0.339,105.998,4
9,"6bpq1jGkVz66Q3LYeoXdjZ","Lil Nas X","SCOOP (feat. Doja Cat)",174164,"MONTERO",6,"2021-09-17",15,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,4
10,"3vySEUpD0tc801F2WZDLYw","Tyga","Freaky Deaky",215281,"Freaky Deaky",1,"2022-02-25",1,0.799,0.653,2,-5.453,0,0.037,0.019,0,0.0935,0.236,104.019,4
11,"4Hpib09wXgD84w4uwTPnYD","Saweetie","Tap In",139413,"Tap In",1,"2020-06-17",1,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4
