,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
1,Hammock,Longest Year (2020),0MlkZnfwsjwHHSfn07N8ao,21,0.0705,0.286,2,-14.865,1,0.0444,0.685,0.675,0.187,0.0313,78.251,533707,4
2,Elley Duhé,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,94,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3
3,Tame Impala,Alter Ego - 2020 Mix,457sndKohlwTU6dW6amBMU,47,0.408,0.903,0,-2.924,1,0.0561,0.00256,0.000821,0.117,0.368,128.942,289867,4
4,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
5,Mads & Co.,Year 2020,1E7kvOufjivgCGLETpjvFs,0,0.372,0.0803,2,-15.213,1,0.0383,0.944,1.93e-05,0.107,0.144,126.553,176000,4
6,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,87,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
7,Year 200X,Ducktales (the Moon),0r5y3Ia2Wu3UkenDH2Ulhk,27,0.257,0.725,7,-6.721,1,0.039,0.000159,0.846,0.157,0.405,82.509,131253,4
8,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,86,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
9,Tame Impala,Runway Houses City Clouds - 2020 Mix,2rOsZbCZxH7P4mvuiBIgoP,42,0.51,0.814,3,-3.766,1,0.0406,0.112,0.343,0.169,0.512,119.051,428627,4
10,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,39,0.437,0.605,8,-5.5,0,0.0329,0.00924,0.118,0.264,0.581,125.114,191160,4
11,Eslabon Armado,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,85,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,1
12,Year 200X,Ghosts N Goblins,0qSXoNHcm1sn9kWcAG7WCx,27,0.294,0.788,7,-8.439,1,0.0441,4.15e-06,0.967,0.0681,0.541,93.028,106973,4
13,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,85,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
14,New West,Years Ago,6NdyWIS7wxMTombWPpzjqf,40,0.531,0.474,1,-6.664,1,0.0251,0.55,0.0,0.0487,0.355,84.398,194911,4
15,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,85,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
16,Jonas Brothers,Year 3000,7BbyWKteSctTKe696qf7fw,51,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,201813,4
17,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,90,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4
18,Year 200X,Zelda II (Title - Battle - Fairy - Palace),1mo7zvAi0AFpLj4ODV9AyY,22,0.112,0.709,7,-8.903,1,0.0596,4.74e-05,0.879,0.0709,0.146,54.37,386227,3
19,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,87,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
20,Hammock,Dark Beyond the Blue (2020),6t3w4yBR0Y1CxSNCh5EgDZ,42,0.231,0.28,0,-19.806,1,0.0449,0.732,0.898,0.0838,0.0374,72.968,325680,3
21,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,88,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
22,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,83,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
23,Year 200X,Castlevania III (the Beginning),2HUMceEhjkJoOfn7UsomyX,23,0.192,0.693,7,-8.539,0,0.052,2.75e-06,0.863,0.232,0.485,113.765,114000,4
24,Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,83,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
25,The Rolling Stones,100 Years Ago - 2020,0RJplx8HMNZsBYmvjCsnO4,38,0.398,0.804,9,-5.255,0,0.0455,0.151,0.173,0.217,0.687,124.305,238133,4
